ID_ORDER,DTE_ORDER,ID_CUSTOMER,ID_PART,QTY_ORDERED,AMT_TOTAL,REF_PAYMENT_METHOD,DTE_DELIVERY_EST,DES_ORDER_NOTE,CAT_ORDER_TYPE,TYP_CUSTOMER_SEGMENT,REF_DISCOUNT_CODE,QTY_UNITS_BACKORDER,TST_INSERTION,AUD_USR_INSERT
ORD00037,2024-09-03,CUST698,PART1058,X,668.07,CASH,2025-07-13,Page management present free involve.,,,,3,2025-02-03T16:14:44,bwalsh
ORD00038,2024-10-14,CUST260,PART1424,null,4919.59,CRYPTO,,Leave among price much indicate.,PHONE,B2C,,2,2024-11-24T05:06:41,nicholasdiaz
ORD00039,2024-12-29,CUST297,PART1261,-3,4578.8,CRYPTO,2025-07-19,,MARKETPLACE,VIP,SUMMER20,0,2025-03-11T01:14:43,hartmanronald
ORD00040,2025-03-16,CUST277,PART1157,X,87.12,CRYPTO,2025-07-07,Person share cultural many energy.,,REGULAR,INVALID,N/A,2024-07-11T12:22:54,bjones
ORD00041,INVALID_DATE,,PART1262,X,1315.94,CASH,2025-06-25,,STORE,B2B,SUMMER20,,2024-10-23T02:04:47,deniseedwards
ORD00042,2024-10-29,CUST466,PART1266,-3,ERROR,,2025-07-08,American paper concern way amount city.,,,SUMMER20,,2024-10-18T08:47:30,jchen
ORD00043,2025-01-07,CUST257,PART1524,X,ERROR,,2025-06-30,Room management determine man serious PM attack.,STORE,B2C,,2,2024-10-23T23:48:33,longbradley
ORD00044,2024-08-31,CUST767,PART1483,null,2932.87,CASH,2025-07-03,Beat so picture grow service.,STORE,REGULAR,BLACKFRIDAY,,2024-10-26T14:46:33,priscilla49
ORD00045,2025-01-31,CUST452,PART1005,null,1821.13,CARD,2025-06-30,,ONLINE,REGULAR,BLACKFRIDAY,2,2024-07-08T08:02:46,rebecca11
ORD00046,2025-03-23,CUST160,PART1868,null,411.75,CARD,2025-07-09,,MARKETPLACE,,,N/A,2025-04-18T06:41:36,david71
ORD00047,2025-06-18,CUST846,PART1206,null,2997.31,,2025-06-25,,MARKETPLACE,,SUMMER20,,2024-08-31T10:37:29,mendezemma
ORD00048,2025-01-31,CUST445,PART1934,-3,3683.28,CARD,2025-07-15,Area whose young. Ahead each ok within why floor.,ONLINE,REGULAR,,,2024-12-21T23:53:19,geoffreysantos
ORD00049,2025-05-30,CUST915,PART1436,null,4968.22,CRYPTO,2025-07-10,,,REGULAR,,,2025-05-03T12:54:23,amberrobertson
ORD00050,INVALID_DATE,CUST134,ERROR,-3,ERROR,,2025-06-24,Behavior market she church.,ONLINE,B2B,,3,2024-07-21T17:35:33,icarter
ORD00051,2025-05-27,CUST514,PART1856,null,1605.04,,,Choose station soon reality east.,,REGULAR,INVALID,1,2025-05-26T23:06:50,steven10
ORD00052,2025-05-11,CUST932,PART1481,X,4809.07,TRANSFER,2025-07-18,,PHONE,REGULAR,,2,2024-09-12T09:00:06,zdougherty
ORD00053,2025-06-08,CUST673,PART1747,-3,1397.88,TRANSFER,2025-07-07,,MARKETPLACE,B2B,,3,2024-09-07T18:23:44,justinferguson
ORD00054,2024-11-06,CUST902,PART1020,6,1573.56,CRYPTO,,Growth doctor not high.,ONLINE,B2C,INVALID,3,2025-03-25T19:59:08,bsmith
ORD00055,2024-11-27,CUST298,PART1418,-3,2254.41,,2025-07-12,,MARKETPLACE,,,,2024-07-08T23:30:22,thomas62
ORD00056,2025-03-06,CUST351,PART1903,X,2563.42,,2025-07-22,Fear despite offer score go other pull.,STORE,REGULAR,,3,2025-05-28T09:13:57,jane03
ORD00057,2025-01-24,CUST266,PART1829,6,2053.65,CASH,,Whole dream between. Fish senior building either.,STORE,B2C,,N/A,2024-12-05T02:04:04,tylerscott
ORD00058,2024-09-01,CUST352,PART1157,X,20.3,,2025-07-11,,,B2C,SUMMER20,3,2024-09-02T20:44:17,smithapril
ORD00059,2025-01-26,CUST267,PART1524,null,3670.73,,2025-06-24,,ONLINE,B2B,,1,2025-05-26T05:54:03,jenkinsjorge
ORD00060,2024-08-24,CUST235,PART1062,null,3362.65,CRYPTO,2025-07-04,Coach action smile health green.,ONLINE,B2B,BLACKFRIDAY,0,2024-07-22T19:56:00,tammy09
ORD00061,2024-07-31,,PART1816,-3,4172.79,CARD,2025-07-09,Party piece probably response white.,STORE,REGULAR,INVALID,1,2024-12-11T03:44:46,rbarber
ORD00062,2025-05-28,CUST455,PART1748,X,753.36,CRYPTO,2025-07-19,,STORE,B2B,SUMMER20,,2024-12-23T10:51:44,kaylarussell
ORD00063,2024-06-30,CUST858,ERROR,null,3707.06,CASH,2025-07-14,From only agency discuss mother.,MARKETPLACE,REGULAR,BLACKFRIDAY,0,2024-09-26T09:34:28,christopherjohnson
ORD00064,INVALID_DATE,CUST760,PART1547,null,1856.92,TRANSFER,2025-07-13,,PHONE,VIP,,2,2024-08-02T18:57:28,laura23
ORD00065,2024-11-04,CUST229,PART1623,null,3009.99,CARD,2025-07-18,,STORE,B2B,,,2025-04-30T07:22:25,anthonycross
ORD00066,2024-12-08,CUST907,PART1284,X,2643.24,CRYPTO,2025-07-21,Attorney human section election among think.,MARKETPLACE,B2B,,2,2024-10-22T08:14:48,paulgray
ORD00067,2024-10-13,CUST376,PART1217,6,1395.61,CRYPTO,,Player choice off itself.,MARKETPLACE,B2C,INVALID,0,2024-09-08T00:59:29,latoya26
ORD00068,2025-03-26,CUST693,PART1592,null,1178.7,,,,,VIP,SUMMER20,,2025-06-07T23:03:48,sweeneylinda
ORD00069,INVALID_DATE,CUST898,ERROR,X,3655.38,TRANSFER,,Task when senior response arrive.,STORE,,SUMMER20,2,2024-06-28T23:24:29,briggsarthur
ORD00070,2024-09-01,CUST712,PART1653,-3,945.96,,2025-07-15,Person company suddenly inside.,STORE,REGULAR,,,2024-11-15T18:07:52,woodnicholas
ORD00071,2025-02-26,CUST995,PART1621,3,1443.15,TRANSFER,2025-06-25,Company artist score test our allow bad.,MARKETPLACE,,BLACKFRIDAY,2,2025-03-09T19:57:01,klopez
ORD00072,INVALID_DATE,CUST729,PART1496,3,,TRANSFER,,,PHONE,,,N/A,2024-12-27T18:45:24,david17
ORD00073,2025-05-21,CUST157,PART1941,null,3408.44,TRANSFER,2025-07-05,Summer at type economy contain avoid until north.,PHONE,REGULAR,,2,2024-10-12T04:00:17,amckee
ORD00074,2024-11-05,CUST348,PART1589,6,2123.21,CARD,2025-06-25,Play Congress candidate join evening.,,B2B,BLACKFRIDAY,2,2025-05-09T05:33:36,jennifercarpenter
ORD00075,INVALID_DATE,CUST511,PART1138,X,354.08,CASH,2025-06-26,Should air read window exactly.,MARKETPLACE,VIP,SUMMER20,N/A,2024-08-08T09:47:57,davidhenry
ORD00076,2025-06-13,CUST592,PART1344,-3,ERROR,CARD,2025-07-05,,,VIP,,1,2024-12-06T14:03:55,edwardlogan
ORD00077,INVALID_DATE,CUST702,PART1568,null,459.43,CARD,2025-07-13,Face player forget mean air.,ONLINE,,SUMMER20,1,2024-11-27T17:46:39,sandersjay
ORD00078,INVALID_DATE,CUST263,PART1214,9,180.51,TRANSFER,2025-07-19,Your song region write.,STORE,REGULAR,INVALID,2,2025-03-17T02:17:32,kevinbarnes
ORD00079,2025-05-24,CUST115,PART1624,-3,2266.31,,,,PHONE,B2C,INVALID,,2024-11-28T21:04:03,susangomez
ORD00080,2025-05-17,CUST709,PART1013,null,2767.78,,2025-07-07,Ten crime talk hospital rich.,,VIP,,2,2025-02-22T20:27:19,michael52
ORD00081,2024-10-12,CUST374,PART1936,-3,1281.59,CARD,2025-06-25,,,VIP,SUMMER20,2,2025-03-10T02:32:28,nancyvasquez
ORD00082,INVALID_DATE,CUST679,ERROR,-3,2511.71,TRANSFER,2025-06-29,Mind child white drive front yet.,ONLINE,REGULAR,BLACKFRIDAY,0,2025-03-31T05:10:10,gsullivan
ORD00083,2024-09-13,CUST558,PART1771,null,2286.93,,2025-06-24,Ability whose sing physical.,STORE,,SUMMER20,1,2025-05-12T19:53:17,pdelgado
ORD00084,2025-04-20,CUST915,PART1769,X,4141.52,,2025-06-27,,MARKETPLACE,B2B,INVALID,1,2024-11-17T22:27:02,ugolden
ORD00085,INVALID_DATE,CUST235,PART1306,X,,CRYPTO,2025-07-18,Discover game suddenly.,MARKETPLACE,B2B,SUMMER20,N/A,2024-08-24T03:09:19,ujohnson
ORD00086,2025-03-13,CUST557,PART1997,-3,1424.49,CARD,2025-06-24,,STORE,REGULAR,SUMMER20,0,2024-09-18T12:57:13,marcus48
ORD00087,2024-08-24,CUST334,PART1586,X,ERROR,,2025-06-24,Three production describe truth.,ONLINE,REGULAR,,N/A,2025-03-16T11:03:10,samuelanderson
ORD00088,2024-07-02,CUST481,PART1655,X,1145.13,CASH,,Discussion local image try.,,B2C,BLACKFRIDAY,2,2024-07-22T10:43:51,gknox
ORD00089,2024-12-21,CUST510,PART1228,X,3232.8,CARD,2025-07-13,Break everyone focus put price.,PHONE,B2C,BLACKFRIDAY,,2024-06-27T02:09:36,johnsoneric
ORD00090,2025-04-20,CUST533,PART1693,-3,4960.72,CRYPTO,2025-07-23,South reason seem bar send once.,MARKETPLACE,B2C,SUMMER20,0,2025-05-15T11:17:12,jessebradley
ORD00091,INVALID_DATE,CUST380,ERROR,6,3743.64,CARD,2025-07-09,Whether surface first institution.,,VIP,INVALID,2,2024-09-09T07:42:44,jonathan92
ORD00092,2025-01-13,CUST254,PART1848,null,4299.82,CRYPTO,2025-07-01,Measure college often matter.,STORE,VIP,,2,2024-09-08T16:05:53,ferrellpatrick
ORD00093,2024-07-31,CUST620,PART1561,null,4629.84,CASH,2025-07-23,Kitchen them oil here involve.,MARKETPLACE,,,0,2025-03-15T13:17:26,tiffany37
ORD00094,2024-08-31,CUST508,ERROR,null,2405.75,TRANSFER,2025-07-15,Partner school its person among whatever.,MARKETPLACE,B2C,INVALID,,2025-01-27T06:47:15,dennis71
ORD00095,INVALID_DATE,CUST205,PART1442,null,ERROR,TRANSFER,2025-06-25,Stock far manager suffer include space sell.,ONLINE,REGULAR,,3,2025-05-19T16:19:50,tammy99
ORD00096,2025-01-19,CUST245,ERROR,X,4594.99,CASH,2025-07-21,Law coach data culture.,,REGULAR,,1,2025-05-16T08:09:20,davidsmith
ORD00097,2025-03-20,CUST735,PART1256,null,ERROR,CARD,,Type popular rather house medical.,,B2B,BLACKFRIDAY,N/A,2024-10-18T09:36:54,stephanielamb
ORD00098,2025-02-09,CUST559,PART1666,4,,CASH,2025-07-12,After can nature.,,B2B,INVALID,N/A,2025-01-17T19:54:24,qrowland
ORD00099,INVALID_DATE,CUST334,PART1877,2,994.06,CASH,2025-07-18,Defense know hold. Thought small indeed former.,,REGULAR,SUMMER20,2,2025-05-19T06:06:10,williamslouis
ORD00100,2025-06-08,,ERROR,X,4853.06,,2025-07-08,Campaign tree program seek.,PHONE,B2C,,0,2024-07-08T17:07:34,collinsrichard
ORD00101,2025-01-05,CUST262,PART1092,1,2681.87,CASH,2025-07-13,Analysis fire experience board.,MARKETPLACE,,INVALID,N/A,2024-06-27T13:37:00,riosmary
ORD00102,2024-11-20,CUST645,PART1543,-3,ERROR,,2025-07-06,Phone both customer executive enter citizen bank.,STORE,REGULAR,BLACKFRIDAY,N/A,2024-11-24T20:43:30,vowens
ORD00103,2024-12-20,CUST422,PART1781,-3,4679.61,CARD,2025-07-07,Low play rise bill wide difference still.,PHONE,,BLACKFRIDAY,0,2025-04-04T02:28:14,mary97
ORD00104,INVALID_DATE,CUST376,PART1533,null,1836.11,CRYPTO,2025-07-17,Upon computer across physical lead purpose.,STORE,VIP,SUMMER20,0,2024-12-05T09:46:22,roblesnatalie
ORD00105,2024-06-25,CUST270,PART1861,X,612.26,,,Particular else almost man assume world.,STORE,REGULAR,,,2024-09-28T18:20:30,lsimpson
ORD00106,2025-02-11,CUST164,PART1479,X,1652.78,CRYPTO,2025-07-20,Play apply who spend.,ONLINE,,BLACKFRIDAY,3,2025-02-28T03:16:46,jeffbryant
ORD00107,2025-02-25,CUST335,PART1319,null,4037.52,,2025-07-06,Cup she listen daughter. Agent drug color.,,,SUMMER20,3,2024-12-12T22:31:58,derrick25
ORD00108,2025-05-22,CUST463,PART1232,null,,,2025-06-25,Sense fact its.,MARKETPLACE,,,2,2025-04-29T15:38:58,anna92
ORD00109,2025-03-30,,PART1761,X,3393.53,CASH,2025-07-04,Media way policy back.,,,BLACKFRIDAY,2,2024-12-18T15:59:05,john49
ORD00110,2025-02-09,CUST314,PART1470,null,4585.04,TRANSFER,2025-07-09,Second people follow.,STORE,REGULAR,INVALID,0,2024-09-25T10:43:44,vwoodard
ORD00111,2025-03-04,CUST242,PART1545,8,2778.92,CASH,2025-07-23,Program inside identify heart measure arm west.,,B2C,,N/A,2024-08-06T21:28:37,ccontreras
ORD00112,INVALID_DATE,CUST755,PART1371,null,1817.81,,2025-07-21,Charge product south argue someone building home.,PHONE,B2C,BLACKFRIDAY,1,2025-05-20T02:14:29,kenneththomas
ORD00113,2024-09-27,CUST343,PART1978,-3,4437.75,CARD,2025-07-05,Whose seven college can however certainly.,,,SUMMER20,3,2024-09-26T01:07:44,mason12
ORD00114,2024-11-06,CUST150,PART1672,-3,1896.41,,2025-07-21,Have risk cover even successful.,ONLINE,VIP,BLACKFRIDAY,1,2025-05-15T14:18:35,nnixon
ORD00115,2024-07-24,CUST552,PART1525,X,3111.75,,2025-07-13,Sure table detail executive forward.,MARKETPLACE,,INVALID,3,2025-02-06T22:05:11,krystal06
ORD00116,2024-07-09,CUST705,PART1755,-3,1043.56,CRYPTO,2025-07-04,Small technology decade some likely.,PHONE,REGULAR,INVALID,2,2025-05-22T02:19:33,reynoldspamela
ORD00117,2024-08-12,CUST243,PART1930,-3,2946.23,CASH,2025-07-16,Task clear lose often. Support themselves money.,STORE,B2B,INVALID,N/A,2024-10-19T17:28:41,kimberly45
ORD00118,INVALID_DATE,CUST719,PART1738,10,3815.78,CRYPTO,2025-07-17,,ONLINE,VIP,,,2025-04-29T14:18:42,brian60
ORD00119,2025-05-15,CUST483,PART1003,X,2747.7,CASH,,Policy conference million a.,PHONE,,INVALID,0,2025-04-16T20:55:01,oholt
ORD00120,2024-11-17,CUST357,PART1772,-3,224.44,CASH,2025-06-30,Chance again international great.,PHONE,REGULAR,SUMMER20,2,2024-08-19T12:02:42,ashley40
ORD00121,2024-08-28,CUST257,PART1859,-3,ERROR,TRANSFER,2025-07-14,,ONLINE,REGULAR,BLACKFRIDAY,N/A,2025-06-22T07:28:00,qwarren
ORD00122,2024-08-09,CUST613,PART1805,X,343.85,CRYPTO,2025-07-16,Black become behavior little.,,,BLACKFRIDAY,0,2024-11-25T05:49:13,hwilson
ORD00123,2025-02-20,CUST825,PART1894,6,1938.19,CASH,2025-07-21,Else attack get. And dog stop.,,VIP,BLACKFRIDAY,2,2024-07-04T02:49:02,gregory01
ORD00124,2024-10-19,CUST743,PART1526,1,3523.82,,2025-07-17,Job account leader trade. Garden myself increase.,,B2B,INVALID,0,2024-09-27T05:47:36,nicholas54
ORD00125,2025-06-01,CUST429,PART1283,-3,881.79,,2025-07-17,Subject commercial evidence street provide.,MARKETPLACE,B2B,SUMMER20,3,2024-08-01T14:28:49,aprilgarcia
ORD00126,2024-12-09,CUST652,PART1430,null,531.93,,2025-06-24,Relate area civil through writer kind military.,STORE,REGULAR,INVALID,1,2025-03-20T16:55:16,andreweber
ORD00127,2025-05-15,CUST704,PART1662,null,1862.48,CASH,,Theory yard someone foreign.,MARKETPLACE,VIP,,3,2025-03-09T01:25:27,slopez
ORD00128,2024-11-02,CUST107,PART1172,6,4209.1,CASH,2025-06-27,Ability more minute here professional.,,VIP,,1,2024-10-19T06:28:30,emily27
ORD00129,2025-03-29,CUST655,PART1439,9,4238.02,,2025-07-03,,PHONE,REGULAR,,1,2025-04-08T12:56:39,cmeyer
ORD00130,2025-06-20,CUST142,ERROR,4,3682.82,,2025-07-05,Fly as popular doctor world scene.,STORE,B2C,SUMMER20,1,2024-12-06T13:15:38,fhayes
ORD00131,2025-05-06,CUST749,PART1739,-3,ERROR,CARD,2025-07-23,,PHONE,B2B,INVALID,2,2025-05-21T18:34:17,nunezmary
ORD00132,2024-08-06,CUST688,PART1733,2,790.59,,,,STORE,REGULAR,BLACKFRIDAY,1,2025-05-11T22:10:56,mitchellstephanie
ORD00133,INVALID_DATE,CUST313,PART1286,5,1490.06,TRANSFER,2025-07-20,Go know fire.,PHONE,B2B,,3,2024-08-10T12:31:56,yramirez
ORD00134,2024-09-26,CUST875,PART1430,X,1492.7,CRYPTO,2025-07-03,,STORE,B2B,INVALID,N/A,2024-08-10T16:50:42,corteztoni
ORD00135,2024-07-09,CUST703,PART1299,-3,999.28,,2025-06-27,,STORE,REGULAR,,3,2025-03-26T19:59:11,aprilkrueger
ORD00136,2025-05-28,CUST540,PART1214,null,,,2025-07-20,Contain house there only.,,REGULAR,,,2025-06-08T20:32:03,cindy67
ORD00137,2025-02-16,CUST466,PART1454,-3,4247.89,,2025-07-01,Letter similar physical continue indicate.,MARKETPLACE,REGULAR,,3,2025-02-23T15:37:39,poncejared
ORD00138,2025-03-05,CUST158,PART1002,X,1617.22,CARD,,Father say as state. Modern according bad parent.,,REGULAR,BLACKFRIDAY,0,2025-01-18T15:05:22,hunterconnor
ORD00139,2025-01-27,CUST578,PART1186,X,ERROR,TRANSFER,2025-07-05,Who upon special study.,STORE,VIP,INVALID,N/A,2025-02-19T03:50:46,stewartmike
ORD00140,2025-04-30,CUST781,PART1218,9,1498.23,,2025-07-12,,PHONE,,INVALID,1,2025-02-27T11:17:04,lanebetty
ORD00141,2024-08-23,CUST543,PART1657,X,2673.46,CRYPTO,2025-07-04,,ONLINE,REGULAR,BLACKFRIDAY,N/A,2024-10-26T23:57:30,jeremy41
ORD00142,2025-03-12,CUST632,PART1088,-3,517.05,CRYPTO,2025-07-13,Notice career forget whether defense couple.,PHONE,VIP,SUMMER20,1,2025-04-17T10:45:31,smithrobert
ORD00143,2024-07-17,CUST615,PART1831,-3,,,,Trial law modern.,ONLINE,VIP,BLACKFRIDAY,1,2024-11-14T14:40:09,umason
ORD00144,2025-02-24,CUST467,PART1914,6,2754.17,,2025-07-09,Ago in because black experience though.,STORE,,INVALID,N/A,2024-08-17T23:00:24,bfernandez
ORD00145,2024-07-11,CUST643,PART1092,4,1578.05,,2025-07-08,Watch teach specific son suddenly cost.,MARKETPLACE,REGULAR,INVALID,,2025-04-08T01:24:29,benjamin69
ORD00146,INVALID_DATE,CUST856,PART1512,10,3712.28,CARD,2025-06-24,Let drug face little south instead.,ONLINE,REGULAR,SUMMER20,0,2024-10-17T02:27:08,gregorycrystal
ORD00147,2025-03-14,CUST893,PART1797,null,1202.16,TRANSFER,2025-07-04,,PHONE,REGULAR,BLACKFRIDAY,1,2025-06-14T06:26:22,melindastafford
ORD00148,2024-07-08,CUST547,PART1390,-3,1641.17,CASH,2025-07-03,,,,INVALID,,2024-08-07T10:48:41,smithcarlos
ORD00149,2025-01-13,CUST589,PART1841,-3,616.0,CASH,2025-07-22,Call if provide nature news.,MARKETPLACE,VIP,,0,2025-03-17T08:28:35,clloyd
ORD00150,2024-06-29,CUST907,PART1319,8,4869.29,CARD,2025-06-28,Thousand pay anyone meeting.,ONLINE,,SUMMER20,3,2024-09-17T07:11:21,jorgemann
ORD00151,2025-01-16,CUST857,PART1561,null,509.44,TRANSFER,2025-07-17,,ONLINE,VIP,SUMMER20,0,2024-07-07T10:55:08,amiller
ORD00152,INVALID_DATE,CUST507,PART1023,-3,3077.1,CASH,2025-07-01,World magazine across what keep skill black do.,,REGULAR,SUMMER20,,2024-06-29T05:29:36,christopher85
ORD00153,2025-04-23,CUST774,PART1950,1,1349.17,TRANSFER,2025-07-21,,,B2C,,,2024-12-24T17:04:45,ashley85
ORD00154,2024-08-22,CUST272,PART1136,10,2096.54,CASH,2025-07-09,Sit during forward.,ONLINE,VIP,INVALID,N/A,2025-06-02T17:31:00,kevin97
ORD00155,2024-11-15,CUST321,PART1147,null,4675.98,CARD,2025-07-15,Someone risk from process glass.,PHONE,VIP,,N/A,2024-08-24T01:21:55,ulee
ORD00156,INVALID_DATE,CUST752,PART1485,null,4022.38,CASH,2025-07-15,,STORE,B2B,INVALID,,2025-04-22T03:14:23,katie63
ORD00157,2024-08-29,CUST854,PART1639,X,ERROR,,2025-07-22,Maybe tree case door letter how arrive some.,STORE,VIP,SUMMER20,1,2024-08-15T00:01:57,ogreer
ORD00158,2024-11-30,CUST904,PART1593,8,3746.1,CASH,2025-06-24,,MARKETPLACE,REGULAR,INVALID,2,2024-12-14T01:03:04,robertlee
ORD00159,2025-02-18,CUST272,ERROR,7,1915.07,CASH,2025-06-24,,,VIP,,2,2025-05-01T06:18:17,bethmoore
ORD00160,2024-09-22,CUST276,PART1175,-3,106.0,,2025-06-29,Suggest adult month study citizen.,STORE,VIP,SUMMER20,N/A,2024-12-28T06:43:51,julie88
ORD00161,2025-01-21,CUST458,PART1695,null,4443.18,,,Federal memory color bar.,MARKETPLACE,B2C,,3,2025-01-26T15:17:33,benjamin94
ORD00162,2025-04-21,,PART1057,null,3639.02,CASH,,,MARKETPLACE,B2B,INVALID,N/A,2025-06-07T21:46:02,jonathandoyle
ORD00163,INVALID_DATE,CUST287,ERROR,2,816.99,TRANSFER,2025-07-05,Camera tell site always peace pay when.,ONLINE,VIP,SUMMER20,N/A,2025-04-24T09:32:50,dennis84
